\c[BLUE]さっき何か撃ち落とした気が…		||||		\c[BLUE]さっき何か撃ち落とした気が…
\c[BLUE]そう言えばお嬢様が仰るには、確か近く\n外界から吸血鬼が来るとか…まさかね		||||		\c[BLUE]そう言えばお嬢様が仰るには、確か近く\n外界から吸血鬼が来るとか…まさかね
\c[RED]そのまさかよ〜		||||		\c[RED]そのまさかよ〜
\c[RED]ひどいわひどいわ\n大事な客人を弾幕で迎えるなんてひどいわ		||||		\c[RED]ひどいわひどいわ\n大事な客人を弾幕で迎えるなんてひどいわ
\c[BLUE]これは大変失礼致しました\nなにせ弾幕は幻想郷流の挨拶ですので		||||		\c[BLUE]これは大変失礼致しました\nなにせ弾幕は幻想郷流の挨拶ですので
\c[RED]何それ外界より怖い\n私は血を吸わないから身体が弱いのよ		||||		\c[RED]何それ外界より怖い\n私は血を吸わないから身体が弱いのよ
\c[RED]頼むから静かに暮らさせて欲しいわ		||||		\c[RED]頼むから静かに暮らさせて欲しいわ
\c[BLUE]偏食ですか、これはいけませんね		||||		\c[BLUE]偏食ですか、これはいけませんね
\c[BLUE]まあ、この咲夜がお世話させて頂く以上\n心配は要りません		||||		\c[BLUE]まあ、この咲夜がお世話させて頂く以上\n心配は要りません
\c[BLUE]創意工夫を凝らしたメニューで\nたちどころに克服させて差し上げましょう		||||		\c[BLUE]創意工夫を凝らしたメニューで\nたちどころに克服させて差し上げましょう
\c[RED]だから要らないってば！		||||		\c[RED]だから要らないってば！
\c[RED]聞き分けの悪い侍従には、吸血鬼の力を\n思い知らせてやらなきゃねえ！		||||		\c[RED]聞き分けの悪い侍従には、吸血鬼の力を\n思い知らせてやらなきゃねえ！
