\c[BLUE]こんなに星が多いのに\n博士とやらは何処にいるのかしら		||||		\c[BLUE]こんなに星が多いのに\n博士とやらは何処にいるのかしら
\c[RED]む、小生をお探しかね？		||||		\c[RED]む、小生をお探しかね？
\c[RED]ここに居るぞ\nこんなに星が多いのだからな		||||		\c[RED]ここに居るぞ\nこんなに星が多いのだからな
\c[BLUE]あんたが吸血鬼の言ってた星占いの博士ね		||||		\c[BLUE]あんたが吸血鬼の言ってた星占いの博士ね
\c[RED]いかにも。小生の名はピアシテ・パスカル\n外の世界ではそれなりに有名だぞ		||||		\c[RED]いかにも。小生の名はピアシテ・パスカル\n外の世界ではそれなりに有名だぞ
\c[RED]星は精霊、その動きは必ず意味を持つ\nそれを読み解けば小生らの未来も見える		||||		\c[RED]星は精霊、その動きは必ず意味を持つ\nそれを読み解けば小生らの未来も見える
\c[RED]この秘法、人をして占星術と呼ぶ		||||		\c[RED]この秘法、人をして占星術と呼ぶ
\c[BLUE]ははあ、宿曜道か\nまともに勉強した事無いけど		||||		\c[BLUE]ははあ、宿曜道か\nまともに勉強した事無いけど
\c[BLUE]未来とかどうでも良いから\n森に落ちたでかい星を何とかしなさいよね		||||		\c[BLUE]未来とかどうでも良いから\n森に落ちたでかい星を何とかしなさいよね
\c[RED]それは出来かねる注文だな		||||		\c[RED]それは出来かねる注文だな
\c[RED]占星術は未来予知であって\n星そのものを操る魔術では無い		||||		\c[RED]占星術は未来予知であって\n星そのものを操る魔術では無い
\c[RED]そして、見えるぞ。それを知った君は\nこれから腹いせに小生に襲いかかって来る		||||		\c[RED]そして、見えるぞ。それを知った君は\nこれから腹いせに小生に襲いかかって来る
\c[BLUE]正解、星占いも隅に置けないわね\n今度から宿曜も覚える事にするわ		||||		\c[BLUE]正解、星占いも隅に置けないわね\n今度から宿曜も覚える事にするわ
\c[RED]星は精霊\nならば星を描く弾にもまた精霊が宿る		||||		\c[RED]星は精霊\nならば星を描く弾にもまた精霊が宿る
\c[RED]あらゆる星を知り尽くした小生の弾幕宇宙\nいかな巫女とて簡単には敗れまい！		||||		\c[RED]あらゆる星を知り尽くした小生の弾幕宇宙\nいかな巫女とて簡単には敗れまい！
