\c[BLUE]さてさて、鬼が出るか蛇が出るか？		||||		\c[BLUE]さてさて、鬼が出るか蛇が出るか？
\c[RED]また、別のしるしが天に現れた		||||		\c[RED]また、別のしるしが天に現れた
\c[RED]見よ、火のように赤い大きな竜である		||||		\c[RED]見よ、火のように赤い大きな竜である
\c[BLUE]なに竜だと？　何処だ何処だ？		||||		\c[BLUE]なに竜だと？　何処だ何処だ？
\c[RED]ならばそのまま余所見をしておれ\n喰われれば誰の事かは分かるだろう		||||		\c[RED]ならばそのまま余所見をしておれ\n喰われれば誰の事かは分かるだろう
\c[BLUE]おおっと\n私は取って食べれない人類なんだぜ		||||		\c[BLUE]おおっと\n私は取って食べれない人類なんだぜ
\c[RED]確かにな、喰えん奴よ		||||		\c[RED]確かにな、喰えん奴よ
\c[BLUE]上手い事言いやがる		||||		\c[BLUE]上手い事言いやがる
\c[RED]星を纏った女が現れる…か。ついに余を縛る忌まわしき預言が解き放たれんとしておる		||||		\c[RED]星を纏った女が現れる…か。ついに余を縛る忌まわしき預言が解き放たれんとしておる
\c[RED]だがそうはさせん。この時の為に正体を隠し東方へ渡り、密かに力を蓄えて来たのだ		||||		\c[RED]だがそうはさせん。この時の為に正体を隠し東方へ渡り、密かに力を蓄えて来たのだ
\c[BLUE]何だと？　八百万の神々じゃないのか？		||||		\c[BLUE]何だと？　八百万の神々じゃないのか？
\c[RED]星神としてそのふりをしていたが\nそれもここまで		||||		\c[RED]星神としてそのふりをしていたが\nそれもここまで
\c[RED]八百万の神の中で余に適う奴は——せめて\n両手の指を使う位には居れば良いがな		||||		\c[RED]八百万の神の中で余に適う奴は——せめて\n両手の指を使う位には居れば良いがな
\c[BLUE]私は強いぜ\n大事な指を折られないように気をつけな		||||		\c[BLUE]私は強いぜ\n大事な指を折られないように気をつけな
\c[RED]甕星は金星、宵闇を照らす明星であり全てを滅する強すぎる光		||||		\c[RED]甕星は金星、宵闇を照らす明星であり全てを滅する強すぎる光
\c[RED]星を模す事しか出来ぬ人間よ\n星に牙剥く愚かさを知れ！		||||		\c[RED]星を模す事しか出来ぬ人間よ\n星に牙剥く愚かさを知れ！
