\c[BLUE]妙ね\n前に来た時は天狗が見回っていた筈なのに		||||		\c[BLUE]妙ね\n前に来た時は天狗が見回っていた筈なのに
\c[RED]ほう、あの者共は天狗と言うのか		||||		\c[RED]ほう、あの者共は天狗と言うのか
\c[RED]邪魔なので追い払っておいた\nなに安心しろ、傷つけてはおらぬ		||||		\c[RED]邪魔なので追い払っておいた\nなに安心しろ、傷つけてはおらぬ
\c[BLUE]大層自信がお有りのようね\n新顔の癖に生意気な		||||		\c[BLUE]大層自信がお有りのようね\n新顔の癖に生意気な
\c[RED]新顔？\nそうか、貴様は余の顔までは知らなんだか		||||		\c[RED]新顔？\nそうか、貴様は余の顔までは知らなんだか
\c[RED]余は天の甕星、明けの明星\n年初めには必ず顔を合わせておったろうに		||||		\c[RED]余は天の甕星、明けの明星\n年初めには必ず顔を合わせておったろうに
\c[BLUE]あ、もしかして天香香背男命？\n最近の神ってそんな奇天烈な格好するんだ		||||		\c[BLUE]あ、もしかして天香香背男命？\n最近の神ってそんな奇天烈な格好するんだ
\c[RED]違うね、これが余の本来の姿よ		||||		\c[RED]違うね、これが余の本来の姿よ
\c[RED]貴様が今まで信じていたものが\n余の世を忍ぶ仮の姿だったに過ぎぬ		||||		\c[RED]貴様が今まで信じていたものが\n余の世を忍ぶ仮の姿だったに過ぎぬ
\c[BLUE]星が落ちて来た異変で、目の前にいるのは\n星の神か。臭いわね、すごく		||||		\c[BLUE]星が落ちて来た異変で、目の前にいるのは\n星の神か。臭いわね、すごく
\c[RED]なに本当か？　土と血とカビの臭いには\n気をつけておるのだが		||||		\c[RED]なに本当か？　土と血とカビの臭いには\n気をつけておるのだが
\c[BLUE]あんたの正体と異変の事を洗いざらい\n吐いて貰うわ。いいえ吐かせてやる		||||		\c[BLUE]あんたの正体と異変の事を洗いざらい\n吐いて貰うわ。いいえ吐かせてやる
\c[RED]面白い、幾ら貴様が幻想郷最強を誇ろうとも\n井の中の蛙は大海を知らぬ		||||		\c[RED]面白い、幾ら貴様が幻想郷最強を誇ろうとも\n井の中の蛙は大海を知らぬ
\c[BLUE]知らないわよ、幻想郷に海無いもん		||||		\c[BLUE]知らないわよ、幻想郷に海無いもん
\c[RED]『地獄に居る者は天国を知らない』		||||		\c[RED]『地獄に居る者は天国を知らない』
\c[RED]だが余は違う		||||		\c[RED]だが余は違う
\c[RED]さあ、今年は少し早く勝負と行こう！\nもはや天照如きで余は倒せんぞ！		||||		\c[RED]さあ、今年は少し早く勝負と行こう！\nもはや天照如きで余は倒せんぞ！
