\c[BLUE]今度は白装束の軍団？\n一体何が起ころうとしているのよ		||||		\c[BLUE]今度は白装束の軍団？\n一体何が起ころうとしているのよ
\c[RED]すぐです、天の国		||||		\c[RED]すぐです、天の国
\c[RED]終わりの日に、人は天主様の前に立つ		||||		\c[RED]終わりの日に、人は天主様の前に立つ
\c[BLUE]はー？		||||		\c[BLUE]はー？
\c[RED]罪のまま死ねば永遠の地獄へ行く\nしかし悔い改めれば永遠の命を得る		||||		\c[RED]罪のまま死ねば永遠の地獄へ行く\nしかし悔い改めれば永遠の命を得る
\c[BLUE]もしかして閻魔の回し者？\n私はもう地獄行き決定だったと思うけど		||||		\c[BLUE]もしかして閻魔の回し者？\n私はもう地獄行き決定だったと思うけど
\c[RED]心配は要りません\n貴女にしるしを与えましょう		||||		\c[RED]心配は要りません\n貴女にしるしを与えましょう
\c[RED]しるしを持つ者は幸いです\n間も無く始まる終末からも守られましょう		||||		\c[RED]しるしを持つ者は幸いです\n間も無く始まる終末からも守られましょう
\c[BLUE]そう言えばあの赤いのもそんな事を…		||||		\c[BLUE]そう言えばあの赤いのもそんな事を…
\c[BLUE]あんた達何なの？\n幻想郷を一体どうするつもり！？		||||		\c[BLUE]あんた達何なの？\n幻想郷を一体どうするつもり！？
\c[RED]預言に記された光と闇の戦いです\nしかし正しき者は憂いる必要は無い		||||		\c[RED]預言に記された光と闇の戦いです\nしかし正しき者は憂いる必要は無い
\c[RED]戦いによって焼け果てた大地にも\n天主様はすぐに救いをもたらして下さる		||||		\c[RED]戦いによって焼け果てた大地にも\n天主様はすぐに救いをもたらして下さる
\c[RED]あの悪しき魔王が倒されるまで、ほんの少し山に避難して頂くだけで良いのです		||||		\c[RED]あの悪しき魔王が倒されるまで、ほんの少し山に避難して頂くだけで良いのです
\c[BLUE]ふざけんじゃないわよ！\n幻想郷滅びるって事じゃない！		||||		\c[BLUE]ふざけんじゃないわよ！\n幻想郷滅びるって事じゃない！
\c[BLUE]そうか、あんた達さては異教の神々ね		||||		\c[BLUE]そうか、あんた達さては異教の神々ね
\c[BLUE]よくも恥知らずにも\nこんな所まで迷惑かけに来てくれたわね		||||		\c[BLUE]よくも恥知らずにも\nこんな所まで迷惑かけに来てくれたわね
\c[RED]…あの封印の書さえ幻想入りしなければ\nこんな事には…		||||		\c[RED]…あの封印の書さえ幻想入りしなければ\nこんな事には…
\c[BLUE]幻想郷がとばっちりを受けて\nたまるもんですか		||||		\c[BLUE]幻想郷がとばっちりを受けて\nたまるもんですか
\c[BLUE]闇の魔王は倒した。あとは光の方もシメればあんた達の預言が成就する事は無いわね！		||||		\c[BLUE]闇の魔王は倒した。あとは光の方もシメればあんた達の預言が成就する事は無いわね！
\c[RED]あの魔王を倒した…！？\nまさか、そんな預言は存在しない		||||		\c[RED]あの魔王を倒した…！？\nまさか、そんな預言は存在しない
\c[RED]身の程を弁えなさい、天主様の作り給うた\nものの中で、最も優れたるは天使であるッ！		||||		\c[RED]身の程を弁えなさい、天主様の作り給うた\nものの中で、最も優れたるは天使であるッ！
