\c[RED]人間に負けるなんて…\n歳を取り過ぎたのかしら		||||		\c[RED]人間に負けるなんて…\n歳を取り過ぎたのかしら
\c[RED]でも、お妃様の逆鱗に比べれば\nまだ生ぬるい		||||		\c[RED]でも、お妃様の逆鱗に比べれば\nまだ生ぬるい
\c[BLUE]昔話は良く分からんが\n女の執念は怖いってのは良く分かったよ		||||		\c[BLUE]昔話は良く分からんが\n女の執念は怖いってのは良く分かったよ
\c[RED]この星は、たった1つ残った冥王様の依代\nどうか欲の為に持ち去ったりしないで		||||		\c[RED]この星は、たった1つ残った冥王様の依代\nどうか欲の為に持ち去ったりしないで
\c[BLUE]人の十の欲は抑える事は出来ない\n抑えた欲は必ず別な形で爆発する		||||		\c[BLUE]人の十の欲は抑える事は出来ない\n抑えた欲は必ず別な形で爆発する
\c[BLUE]お前さんの持つ落ち着かせるハッカ草なんか色んな事に使えそうなんだよなぁ		||||		\c[BLUE]お前さんの持つ落ち着かせるハッカ草なんか色んな事に使えそうなんだよなぁ
\c[RED]好きなだけ持って行くが良いわ		||||		\c[RED]好きなだけ持って行くが良いわ
\c[BLUE]よろしい\n妖精の物は私の物、私の物は私の物だ		||||		\c[BLUE]よろしい\n妖精の物は私の物、私の物は私の物だ
\c[BLUE]まあハッカ草はよく増えるからな\n少しあれば十分だ		||||		\c[BLUE]まあハッカ草はよく増えるからな\n少しあれば十分だ
\c[BLUE]それではさらばだ強い妖精よ		||||		\c[BLUE]それではさらばだ強い妖精よ
\c[BLUE]せいぜい霊夢に目を付けられんように\n大人しく暮らすんだな		||||		\c[BLUE]せいぜい霊夢に目を付けられんように\n大人しく暮らすんだな
\c[RED]…植物の力をここまで知り尽くし\n使いこなした人間は初めて		||||		\c[RED]…植物の力をここまで知り尽くし\n使いこなした人間は初めて
\c[RED]けれど、その自信ゆえに\n貴方は致命的な間違いを犯した		||||		\c[RED]けれど、その自信ゆえに\n貴方は致命的な間違いを犯した
\c[RED]「始祖」たる私のミントの繁殖力は\nニホンハッカの比ではない		||||		\c[RED]「始祖」たる私のミントの繁殖力は\nニホンハッカの比ではない
\c[RED]ありがとう、後は私が何もせずとも貴方達がこの幻想郷を緑で覆い尽くしてくれるわ		||||		\c[RED]ありがとう、後は私が何もせずとも貴方達がこの幻想郷を緑で覆い尽くしてくれるわ
\c[RED]冥王様、今度こそ貴方と一緒に——		||||		\c[RED]冥王様、今度こそ貴方と一緒に——
\c[GREEN]EXクリアおめでとう！		||||		\c[GREEN]EXクリアおめでとう！
\c[GREEN]初期残機2以下・ボム3以下、\n残機を3個以上残してクリアすると、		||||		\c[GREEN]初期残機2以下・ボム3以下、\n残機を3個以上残してクリアすると、
\c[GREEN]いつもと違うエンディングが見られますよ\n（ノーコンティニュー＆ノーマル以上限定）		||||		\c[GREEN]いつもと違うエンディングが見られますよ\n（ノーコンティニュー＆ノーマル以上限定）
