\c[RED]人間に負けるなんて…\n歳を取り過ぎたのかしら		||||		\c[RED]人間に負けるなんて…\n歳を取り過ぎたのかしら
\c[BLUE]その姿で言われても\n喧嘩を売られてるとしか思えないわね		||||		\c[BLUE]その姿で言われても\n喧嘩を売られてるとしか思えないわね
\c[RED]こんな姿なのは\nお妃様の怒りに触れたから		||||		\c[RED]こんな姿なのは\nお妃様の怒りに触れたから
\c[RED]あの方はお妃様という方がおられながら\nエルフにすぎぬ私を…		||||		\c[RED]あの方はお妃様という方がおられながら\nエルフにすぎぬ私を…
\c[BLUE]やっぱり喧嘩を売られてるとしか\n思えないのよねえ		||||		\c[BLUE]やっぱり喧嘩を売られてるとしか\n思えないのよねえ
\c[RED]やはり貴方は\nミントの香りで心を落ち着けた方が良い		||||		\c[RED]やはり貴方は\nミントの香りで心を落ち着けた方が良い
\c[RED]この花をあげるから紅茶に入れてごらん\nすっきり穏やかな気分になるよ		||||		\c[RED]この花をあげるから紅茶に入れてごらん\nすっきり穏やかな気分になるよ
\c[BLUE]献花を売られてるとしか思えない\nまあ折角だから、美鈴辺りで試してみるか		||||		\c[BLUE]献花を売られてるとしか思えない\nまあ折角だから、美鈴辺りで試してみるか
\c[RED]それから貴方なら知っているかもね		||||		\c[RED]それから貴方なら知っているかもね
\c[RED]6月24日に花をつけたミントを見つければ\n永遠の幸福が約束される		||||		\c[RED]6月24日に花をつけたミントを見つければ\n永遠の幸福が約束される
\c[RED]もし見つからなければ此処へおいで\n持つべき物を持ってね		||||		\c[RED]もし見つからなければ此処へおいで\n持つべき物を持ってね
\c[BLUE]古い言い伝えに付け込んで小遣い稼ぎか\nどこまでも売りつけて来るわね		||||		\c[BLUE]古い言い伝えに付け込んで小遣い稼ぎか\nどこまでも売りつけて来るわね
\c[RED]せいぜい10年か20年しか生きていない\n貴方には知る由も無いか		||||		\c[RED]せいぜい10年か20年しか生きていない\n貴方には知る由も無いか
\c[RED]古今東西のミントに関する言い伝えは\n全部私がバラ撒いたという事などね		||||		\c[RED]古今東西のミントに関する言い伝えは\n全部私がバラ撒いたという事などね
\c[GREEN]EXクリアおめでとう！		||||		\c[GREEN]EXクリアおめでとう！
\c[GREEN]初期残機2以下・ボム3以下、\n残機を2個以上残してクリアすると、		||||		\c[GREEN]初期残機2以下・ボム3以下、\n残機を2個以上残してクリアすると、
\c[GREEN]いつもと違うエンディングが見られますよ\n（ノーコンティニュー＆ノーマル以上限定）		||||		\c[GREEN]いつもと違うエンディングが見られますよ\n（ノーコンティニュー＆ノーマル以上限定）
